Süre;Uzama;Gerilim 1;Yük
(sec);(mm);(mm/mm);(N)
80,19;4,71;0,0110;14636,5032
80,39;4,72;0,0110;14642,1328
80,59;4,74;0,0110;14646,4050
80,79;4,75;0,0110;14654,0940
80,99;4,76;0,0110;14668,4021
81,19;4,78;0,0110;14671,4941
81,39;4,79;0,0110;14675,7454
81,59;4,80;0,0110;14689,5379
81,79;4,82;0,0110;14696,5206
81,99;4,83;0,0110;14700,8657
82,19;4,84;0,0110;14706,8903
82,39;4,86;0,0110;14720,7960
82,59;4,87;0,0110;14725,3200
82,79;4,88;0,0110;14732,1433
82,99;4,90;0,0110;14740,6504
83,19;4,91;0,0110;14749,5225
83,39;4,92;0,0110;14752,9706
83,59;4,94;0,0110;14757,9417
83,79;4,95;0,0110;14769,9177
83,99;4,96;0,0110;14777,1999
84,19;4,98;0,0110;14782,3870
84,39;4,99;0,0110;14790,1610
84,59;5,00;0,0110;14801,9224
84,79;5,02;0,0110;14805,6105
84,99;5,03;0,0110;14809,9512
85,19;5,04;0,0110;14821,8304
85,39;5,06;0,0110;14829,8532
85,59;5,07;0,0110;14835,0820
85,79;5,08;0,0110;14840,4866
85,99;5,10;0,0110;14855,2880
86,19;5,11;0,0110;14857,8942
86,39;5,12;0,0110;14861,9771
86,59;5,14;0,0110;14870,5766
86,79;5,15;0,0110;14879,9896
86,99;5,16;0,0110;14886,7309
87,19;5,18;0,0110;14889,8244
87,39;5,19;0,0110;14902,8778
87,59;5,20;0,0110;14907,6968
87,79;5,22;0,0110;14912,3892
87,99;5,23;0,0110;14919,2587
88,19;5,24;0,0110;14932,1541
88,39;5,26;0,0110;14934,6545
88,59;5,27;0,0110;14937,4932
88,79;5,28;0,0110;14949,0610
88,99;5,30;0,0110;14957,4354
89,19;5,31;0,0110;14962,0220
89,39;5,32;0,0110;14966,4745
89,59;5,34;0,0110;14978,4788
89,79;5,35;0,0110;14982,2563
89,99;5,36;0,0110;14986,6402
90,19;5,38;0,0110;14995,2456
90,39;5,39;0,0110;15003,2371
90,59;5,40;0,0110;15009,1186
90,79;5,42;0,0110;15010,8606
90,99;5,43;0,0110;15024,9586
91,19;5,44;0,0110;15029,4587
91,39;5,46;0,0110;15032,5209
91,59;5,47;0,0110;15039,8538
91,79;5,48;0,0110;15050,8091
91,99;5,50;0,0110;15055,7876
92,19;5,51;0,0110;15056,9782
92,39;5,52;0,0110;15068,8931
92,59;5,54;0,0110;15076,1917
92,79;5,55;0,0110;15081,2015
92,99;5,56;0,0110;15083,8137
93,19;5,58;0,0110;15095,2786
93,39;5,59;0,0110;15100,9053
93,59;5,60;0,0110;15102,4461
93,79;5,62;0,0110;15111,9679
93,99;5,63;0,0110;15119,9043
94,19;5,64;0,0110;15126,0614
94,39;5,66;0,0110;15127,2297
94,59;5,67;0,0110;15139,0702
94,79;5,68;0,0110;15142,9892
94,99;5,70;0,0110;15148,2791
95,19;5,71;0,0110;15152,4261
95,39;5,72;0,0110;15162,4039
95,59;5,74;0,0110;15166,7014
95,79;5,75;0,0110;15168,8010
95,99;5,76;0,0110;15181,4103
96,19;5,78;0,0110;15186,4111
96,39;5,79;0,0110;15192,1481
96,59;5,80;0,0110;15192,5087
96,79;5,82;0,0110;15205,4071
96,99;5,83;0,0110;15209,9133
97,19;5,84;0,0110;15209,6093
97,39;5,86;0,0110;15220,3113
97,59;5,87;0,0110;15228,8109
97,79;5,88;0,0110;15233,2008
97,99;5,90;0,0110;15234,8638
98,19;5,91;0,0110;15245,6313
98,39;5,92;0,0110;15251,3459
98,59;5,94;0,0110;15252,8688
98,79;5,95;0,0110;15257,9844
98,99;5,96;0,0110;15268,5538
99,19;5,98;0,0110;15275,4351
99,39;5,99;0,0110;15275,2966
99,59;6,00;0,0110;15286,3592
99,79;6,02;0,0110;15291,0203
99,99;6,03;0,0110;15295,6694
100,2;6,04;0,0110;15297,9121
100,4;6,06;0,0110;15308,2609
100,6;6,07;0,0110;15313,2245
100,8;6,08;0,0110;15313,2752
101,0;6,10;0,0110;15322,0162
101,2;6,11;0,0110;15329,3520
101,4;6,12;0,0110;15335,2425
101,6;6,14;0,0110;15335,3482
101,8;6,15;0,0110;15345,6539
102,0;6,16;0,0110;15352,4816
102,2;6,18;0,0110;15353,1164
102,4;6,19;0,0110;15358,7699
102,6;6,20;0,0110;15367,3485
102,8;6,22;0,0110;15371,7518
103,0;6,23;0,0110;15373,6427
103,2;6,24;0,0110;15383,2540
103,4;6,26;0,0110;15390,3112
103,6;6,27;0,0110;15391,5301
103,8;6,28;0,0110;15393,9754
104,0;6,30;0,0110;15402,9533
104,2;6,31;0,0110;15410,7541
104,4;6,32;0,0110;15409,9479
104,6;6,34;0,0110;15418,6681
104,8;6,35;0,0110;15425,1784
105,0;6,36;0,0110;15430,9079
105,2;6,38;0,0110;15430,0332
105,4;6,39;0,0110;15440,2643
105,6;6,40;0,0110;15446,2606
105,8;6,42;0,0110;15448,0502
106,0;6,43;0,0110;15453,1747
106,2;6,44;0,0110;15460,2915
106,4;6,46;0,0110;15465,8243
106,6;6,47;0,0110;15466,6230
106,8;6,48;0,0110;15475,6129
107,0;6,50;0,0110;15482,0025
107,2;6,51;0,0110;15483,0426
107,4;6,52;0,0110;15487,4668
107,6;6,54;0,0110;15494,9754
107,8;6,55;0,0110;15500,4516
108,0;6,56;0,0110;15500,7079
108,2;6,58;0,0110;15507,3777
108,4;6,59;0,0110;15516,2320
108,6;6,60;0,0110;15519,8514
108,8;6,62;0,0110;15519,8053
109,0;6,63;0,0110;15527,5434
109,2;6,64;0,0110;15534,1789
109,4;6,66;0,0110;15535,3159
109,6;6,67;0,0110;15541,5595
109,8;6,68;0,0110;15548,8312
110,0;6,70;0,0110;15552,9618
110,2;6,71;0,0110;15552,7070
110,4;6,72;0,0110;15560,0876
110,6;6,74;0,0110;15567,3951
110,8;6,75;0,0110;15568,7585
111,0;6,76;0,0110;15572,7506
111,2;6,78;0,0110;15580,1833
111,4;6,79;0,0110;15585,9023
111,6;6,80;0,0110;15585,0306
111,8;6,82;0,0110;15592,6436
112,0;6,83;0,0110;15599,3775
112,2;6,84;0,0110;15603,7822
112,4;6,86;0,0110;15605,1815
112,6;6,87;0,0110;15609,2286
112,8;6,88;0,0110;15617,0711
113,0;6,90;0,0110;15616,0608
113,2;6,91;0,0110;15623,2357
113,4;6,92;0,0110;15630,6192
113,6;6,94;0,0110;15635,4263
113,8;6,95;0,0110;15635,4129
114,0;6,96;0,0110;15642,7234
114,2;6,98;0,0110;15648,1907
114,4;6,99;0,0110;15648,2488
114,6;7,00;0,0110;15650,8297
114,8;7,02;0,0110;15659,4411
115,0;7,03;0,0110;15665,1706
115,2;7,04;0,0110;15664,4478
115,4;7,06;0,0110;15671,3337
115,6;7,07;0,0110;15678,5384
115,8;7,08;0,0110;15681,6155
116,0;7,10;0,0110;15681,8002
116,2;7,11;0,0110;15688,0215
116,4;7,12;0,0110;15694,7613
116,6;7,14;0,0110;15695,6047
116,8;7,15;0,0110;15700,0452
117,0;7,16;0,0110;15706,8506
117,2;7,18;0,0110;15712,6665
117,4;7,19;0,0110;15711,5966
117,6;7,20;0,0110;15717,9028
117,8;7,22;0,0110;15724,7216
118,0;7,23;0,0110;15725,5843
118,2;7,24;0,0110;15727,5915
118,4;7,26;0,0110;15735,0406
118,6;7,27;0,0110;15742,0114
118,8;7,28;0,0110;15740,0757
119,0;7,30;0,0110;15747,8318
119,2;7,31;0,0110;15753,0546
119,4;7,32;0,0110;15754,8264
119,6;7,34;0,0110;15755,7622
119,8;7,35;0,0110;15762,7046
120,0;7,36;0,0110;15769,5144
120,2;7,38;0,0110;15769,2134
120,4;7,39;0,0110;15774,4884
120,6;7,40;0,0110;15779,8544
120,8;7,42;0,0110;15785,2679
121,0;7,43;0,0110;15783,5662
121,2;7,44;0,0110;15789,6876
121,4;7,46;0,0110;15796,4498
121,6;7,47;0,0110;15796,7612
121,8;7,48;0,0110;15799,8458
122,0;7,50;0,0110;15805,9835
122,2;7,51;0,0110;15813,4595
122,4;7,52;0,0110;15810,6983
122,6;7,54;0,0110;15814,7201
122,8;7,55;0,0110;15821,9546
123,0;7,56;0,0110;15824,2747
123,2;7,58;0,0110;15823,7442
123,4;7,59;0,0110;15829,1250
123,6;7,60;0,0110;15837,0361
123,8;7,62;0,0110;15836,9914
124,0;7,63;0,0110;15842,0458
124,2;7,64;0,0110;15846,9617
124,4;7,66;0,0110;15852,5109
124,6;7,67;0,0110;15850,2594
124,8;7,68;0,0110;15854,5315
125,0;7,70;0,0110;15862,6780
125,2;7,71;0,0110;15862,7152
125,4;7,72;0,0110;15867,3078
125,6;7,74;0,0110;15872,8614
125,8;7,75;0,0110;15880,6816
126,0;7,76;0,0110;15877,6671
126,2;7,78;0,0110;15881,8752
126,4;7,79;0,0110;15888,3736
126,6;7,80;0,0110;15889,2214
126,8;7,82;0,0110;15889,4062
127,0;7,83;0,0110;15896,0178
127,2;7,84;0,0110;15904,3700
127,4;7,86;0,0110;15902,8903
127,6;7,87;0,0110;15906,3265
127,8;7,88;0,0110;15912,9813
128,0;7,90;0,0110;15918,5261
128,2;7,91;0,0110;15915,1390
128,4;7,92;0,0110;15919,0223
128,6;7,94;0,0110;15926,5459
128,8;7,95;0,0110;15927,8244
129,0;7,96;0,0110;15930,7078
129,2;7,98;0,0110;15934,4986
129,4;7,99;0,0110;15942,2815
129,6;8,00;0,0110;15940,0985
129,8;8,02;0,0110;15946,0559
130,0;8,03;0,0110;15950,4548
